tarih,ürün,kategori,satış_miktarı,birim_fiyat,bölge
2026-09-10,Ürün A,Ev,133,253.9,İzmir
2026-07-12,Ürün C,Ev,219,194.76,Konya
2026-04-29,Ürün B,Giyim,320,118.59,Konya
2026-08-18,Ürün A,Ev,386,305.9,Ankara
2026-08-24,Ürün A,Giyim,26,285.96,Gaziantep
2026-10-11,Ürün C,Ev,20,158.66,Antalya
2026-11-27,Ürün B,Ev,108,81.32,İzmir
2026-06-19,Ürün C,Giyim,113,147.05,Gaziantep
2026-07-28,Ürün B,Elektronik,404,80.85,Konya
2026-04-26,Ürün B,Giyim,268,100.74,İzmir
2026-03-15,Ürün C,Elektronik,141,192.97,Antalya
2026-10-14,Ürün B,Giyim,34,78.05,Ankara
2026-03-17,Ürün B,Giyim,135,92.96,Adana
2026-07-19,Ürün B,Giyim,123,75.49,İzmir
2026-01-22,Ürün B,Ev,417,82.9,Gaziantep
2026-12-27,Ürün C,Ev,212,193.02,Konya
2026-01-13,Ürün A,Ev,371,257.54,Gaziantep
2026-09-28,Ürün A,Ev,149,337.83,Bursa
2026-07-02,Ürün B,Elektronik,472,103.84,Konya
2026-10-07,Ürün C,Elektronik,243,186.25,İzmir
2026-07-08,Ürün C,Ev,347,132.56,Gaziantep
2026-02-05,Ürün C,Elektronik,316,123.75,Ankara
2026-11-14,Ürün A,Giyim,128,258.17,Ankara
2026-03-09,Ürün A,Ev,205,347.21,Gaziantep
2026-05-09,Ürün C,Elektronik,129,144.72,Bursa
2026-05-01,Ürün A,Ev,112,335.17,Gaziantep
2026-04-30,Ürün B,Giyim,390,103.64,Bursa
2026-02-16,Ürün A,Elektronik,233,321.96,Konya
2026-08-23,Ürün A,Giyim,146,317.71,Antalya
2026-03-27,Ürün B,Ev,269,99.29,Konya
2026-11-05,Ürün C,Giyim,143,146.61,Ankara
2026-03-06,Ürün B,Elektronik,428,119.12,Adana
2026-06-13,Ürün B,Giyim,356,70.52,İstanbul
2026-06-11,Ürün C,Giyim,192,155.36,Gaziantep
2026-01-19,Ürün A,Ev,48,260.06,Bursa
2026-04-12,Ürün B,Ev,148,75.83,İstanbul
2026-11-28,Ürün B,Giyim,109,104.25,Konya
2026-11-04,Ürün B,Ev,368,86.48,Antalya
2026-12-20,Ürün C,Ev,77,123.08,Gaziantep
2026-04-12,Ürün C,Ev,207,125.2,Antalya
2026-05-23,Ürün A,Giyim,479,321.55,Konya
2026-05-22,Ürün B,Elektronik,427,119.58,Konya
2026-09-12,Ürün C,Elektronik,327,171.55,Adana
2026-04-24,Ürün C,Ev,327,165.33,Bursa
2026-05-17,Ürün C,Ev,180,143.65,İzmir
2026-01-28,Ürün B,Ev,249,110.92,Ankara
2026-11-23,Ürün C,Elektronik,424,181.05,Antalya
2026-04-12,Ürün C,Elektronik,110,178.01,Konya
2026-11-07,Ürün C,Elektronik,15,142.53,İstanbul
2026-01-01,Ürün B,Giyim,428,90.47,Ankara
2026-01-19,Ürün B,Giyim,190,105.23,Gaziantep
2026-09-19,Ürün C,Elektronik,409,178.92,İzmir
2026-09-18,Ürün C,Elektronik,179,125.49,Ankara
2026-12-12,Ürün B,Ev,431,95.96,Gaziantep
2026-06-25,Ürün B,Giyim,309,81.11,İzmir
2026-07-16,Ürün A,Elektronik,117,293.86,Adana
2026-10-30,Ürün A,Giyim,22,302.77,Ankara
2026-08-22,Ürün C,Elektronik,54,146.17,Ankara
2026-10-17,Ürün A,Giyim,456,253.42,Konya
2026-01-14,Ürün A,Ev,401,319.58,İzmir
2026-09-02,Ürün A,Elektronik,354,349.54,İstanbul
2026-03-23,Ürün C,Elektronik,331,197.05,Ankara
2026-09-20,Ürün C,Elektronik,169,158.34,İzmir
2026-01-31,Ürün B,Elektronik,164,98.0,İstanbul
2026-06-18,Ürün C,Elektronik,55,169.56,Bursa
2026-11-22,Ürün A,Giyim,337,342.76,Konya
2026-07-15,Ürün B,Giyim,56,96.87,İzmir
2026-11-29,Ürün C,Ev,489,135.07,Antalya
2026-12-18,Ürün B,Ev,308,114.63,Adana
2026-09-02,Ürün A,Elektronik,378,345.45,Konya
2026-06-09,Ürün C,Elektronik,32,139.36,İzmir
2026-07-31,Ürün B,Elektronik,361,82.11,Bursa
2026-12-22,Ürün A,Giyim,360,282.78,İstanbul
2026-07-18,Ürün B,Elektronik,286,111.54,İstanbul
2026-09-01,Ürün A,Elektronik,363,336.54,Konya
2026-04-10,Ürün C,Giyim,318,189.65,Konya
2026-11-14,Ürün C,Elektronik,162,177.38,İstanbul
2026-07-17,Ürün A,Elektronik,473,322.65,Adana
2026-03-18,Ürün C,Elektronik,386,198.14,Konya
2026-10-28,Ürün C,Ev,425,130.57,İzmir
2026-02-21,Ürün C,Ev,473,147.31,Antalya
2026-11-03,Ürün B,Ev,417,71.01,Konya
2026-03-02,Ürün A,Giyim,364,270.67,Antalya
2026-08-11,Ürün C,Elektronik,163,179.24,Ankara
2026-02-11,Ürün C,Elektronik,92,196.76,Gaziantep
2026-02-04,Ürün B,Ev,448,77.04,Bursa
