date,product,category,sales_quantity,unit_price,region
2026-11-11,Product A,Electronics,429,322.95,Antalya
2026-10-05,Product B,Electronics,44,116.48,Adana
2026-01-12,Product C,Apparel,398,121.66,Adana
2026-09-19,Product B,Apparel,413,113.08,Konya
2026-08-19,Product A,Home,476,326.98,Gaziantep
2026-01-22,Product B,Apparel,399,94.21,Izmir
2026-10-14,Product C,Electronics,341,163.81,Bursa
2026-03-28,Product B,Home,12,118.05,Gaziantep
2026-05-17,Product A,Home,464,268.43,Antalya
2026-11-17,Product C,Apparel,13,180.38,Ankara
2026-07-27,Product B,Home,147,113.15,Ankara
2026-04-17,Product C,Electronics,19,196.18,Gaziantep
2026-11-15,Product C,Electronics,146,173.18,Adana
2026-12-06,Product C,Apparel,448,128.24,Adana
2026-02-21,Product C,Electronics,160,140.01,Izmir
2026-04-19,Product C,Home,149,186.49,Bursa
2026-07-16,Product C,Home,307,155.43,Ankara
2026-05-01,Product B,Home,463,97.24,Antalya
2026-11-27,Product B,Home,225,80.37,Adana
2026-04-08,Product B,Electronics,435,96.56,Ankara
2026-11-05,Product B,Apparel,341,104.76,Ankara
2026-02-10,Product C,Electronics,143,173.93,Antalya
2026-05-03,Product B,Home,447,104.63,Izmir
2026-11-30,Product C,Home,56,152.3,Bursa
2026-08-19,Product B,Home,460,115.78,Gaziantep
2026-05-16,Product C,Home,309,173.25,Izmir
2026-08-21,Product A,Home,376,321.39,Izmir
2026-09-05,Product B,Electronics,402,100.14,Bursa
2026-04-09,Product A,Electronics,182,298.47,Antalya
2026-09-03,Product A,Home,158,325.84,Antalya
2026-07-02,Product C,Electronics,357,136.13,Izmir
2026-06-02,Product B,Home,18,70.18,Izmir
2026-12-18,Product C,Apparel,370,134.24,Adana
2026-02-14,Product A,Home,434,273.75,Adana
2026-01-16,Product A,Home,79,316.32,Ankara
2026-05-19,Product C,Electronics,435,195.2,Gaziantep
2026-05-18,Product C,Apparel,256,186.55,Istanbul
2026-11-08,Product C,Home,100,150.6,Bursa
2026-03-27,Product B,Apparel,417,96.15,Konya
2026-07-03,Product A,Electronics,205,298.2,Izmir
2026-05-12,Product C,Apparel,98,138.55,Adana
2026-03-24,Product C,Home,471,122.42,Ankara
2026-07-14,Product B,Electronics,107,92.16,Gaziantep
2026-08-21,Product B,Electronics,346,75.81,Gaziantep
2026-04-08,Product B,Home,391,95.08,Izmir
2026-07-17,Product B,Apparel,395,107.67,Konya
2026-12-15,Product A,Apparel,335,315.11,Konya
2026-12-14,Product C,Electronics,314,182.09,Adana
2026-06-22,Product B,Electronics,59,88.32,Bursa
2026-12-08,Product A,Home,314,325.42,Bursa
2026-03-07,Product B,Electronics,44,103.81,Ankara
2026-11-21,Product A,Apparel,370,320.49,Istanbul
2026-09-08,Product A,Electronics,35,317.37,Ankara
2026-01-30,Product A,Electronics,381,256.74,Adana
2026-02-22,Product C,Apparel,214,194.67,Izmir
2026-12-13,Product C,Apparel,35,194.41,Konya
2026-10-02,Product A,Home,330,328.21,Gaziantep
2026-03-22,Product A,Electronics,221,333.51,Izmir
2026-07-17,Product C,Apparel,322,188.56,Istanbul
2026-03-17,Product B,Home,239,102.68,Bursa
2026-03-23,Product A,Electronics,163,346.85,Istanbul
2026-09-17,Product A,Apparel,73,324.38,Gaziantep
2026-01-24,Product A,Apparel,441,290.39,Izmir
2026-12-19,Product C,Home,270,149.99,Bursa
2026-05-03,Product A,Electronics,409,266.97,Adana
2026-08-08,Product B,Apparel,212,99.97,Bursa
2026-10-19,Product C,Apparel,298,151.54,Gaziantep
2026-02-07,Product A,Electronics,400,289.3,Konya
2026-07-04,Product B,Apparel,12,75.56,Konya
2026-01-10,Product B,Home,441,84.23,Antalya
2026-08-18,Product B,Apparel,499,92.86,Izmir
2026-07-03,Product A,Home,424,305.68,Istanbul
2026-04-20,Product C,Home,198,152.23,Izmir
2026-09-14,Product B,Home,144,80.9,Antalya
2026-01-20,Product A,Home,47,275.1,Bursa
2026-10-02,Product A,Home,16,268.87,Istanbul
2026-02-15,Product C,Apparel,291,135.07,Izmir
2026-06-17,Product A,Apparel,78,304.62,Antalya
2026-03-18,Product C,Home,442,178.25,Izmir
2026-02-23,Product C,Apparel,473,158.65,Istanbul
2026-02-08,Product B,Apparel,130,90.14,Bursa
2026-11-04,Product B,Electronics,382,88.35,Izmir
2026-06-04,Product A,Electronics,50,294.45,Adana
2026-10-14,Product C,Electronics,104,123.18,Istanbul
2026-04-08,Product C,Home,138,131.89,Izmir
2026-09-20,Product B,Apparel,213,95.88,Ankara
2026-08-22,Product A,Apparel,443,290.11,Istanbul
2026-05-30,Product A,Electronics,395,278.16,Antalya
2026-05-27,Product A,Electronics,50,311.8,Konya
2026-07-07,Product A,Apparel,301,268.11,Bursa
2026-05-16,Product C,Apparel,79,138.74,Antalya
2026-03-19,Product C,Electronics,234,151.1,Konya
2026-05-01,Product C,Apparel,79,185.59,Adana
2026-09-22,Product C,Home,279,188.46,Bursa
2026-10-23,Product B,Home,414,100.93,Gaziantep
2026-10-14,Product C,Apparel,90,199.19,Izmir
2026-11-02,Product B,Apparel,118,86.33,Ankara
2026-06-30,Product B,Electronics,216,80.67,Konya
2026-06-07,Product B,Home,33,115.72,Bursa
2026-04-21,Product C,Home,484,120.91,Bursa
2026-03-29,Product C,Home,396,129.93,Ankara
2026-06-28,Product B,Apparel,149,73.69,Adana
2026-04-26,Product A,Electronics,498,342.94,Konya
2026-08-06,Product C,Apparel,472,127.46,Bursa
2026-12-09,Product B,Apparel,207,92.84,Gaziantep
2026-01-07,Product A,Home,423,310.13,Gaziantep
2026-03-12,Product B,Apparel,114,105.23,Ankara
2026-01-24,Product C,Electronics,43,181.83,Antalya
2026-03-04,Product C,Apparel,288,165.18,Gaziantep
2026-08-02,Product C,Home,110,173.98,Ankara
2026-11-03,Product C,Home,232,184.36,Bursa
2026-01-07,Product A,Apparel,375,344.91,Gaziantep
2026-05-20,Product A,Electronics,73,317.95,Adana
2026-08-12,Product C,Apparel,133,148.63,Konya
2026-01-14,Product A,Electronics,126,297.49,Ankara
2026-10-05,Product C,Apparel,124,137.59,Gaziantep
2026-08-26,Product A,Home,255,308.9,Bursa
2026-11-02,Product C,Home,420,147.83,Istanbul
2026-03-14,Product A,Electronics,44,253.72,Izmir
2026-07-08,Product B,Electronics,288,113.02,Istanbul
2026-08-07,Product B,Apparel,469,117.87,Konya
2026-10-29,Product C,Home,182,174.72,Konya
2026-11-10,Product C,Apparel,219,167.56,Bursa
2026-04-07,Product B,Electronics,175,116.26,Adana
2026-12-15,Product B,Apparel,240,95.24,Ankara
2026-02-25,Product A,Home,419,308.21,Istanbul
2026-03-11,Product C,Apparel,46,145.98,Ankara
2026-02-20,Product A,Home,224,347.18,Izmir
2026-09-13,Product C,Apparel,11,194.77,Antalya
2026-02-20,Product C,Apparel,53,186.85,Gaziantep
2026-07-05,Product C,Home,195,140.69,Ankara
2026-04-16,Product B,Home,45,104.25,Antalya
2026-11-04,Product C,Apparel,480,129.22,Adana
2026-01-05,Product A,Apparel,113,271.3,Izmir
2026-07-20,Product C,Apparel,122,175.58,Gaziantep
2026-05-13,Product A,Electronics,29,260.41,Konya
2026-06-13,Product C,Electronics,76,170.02,Gaziantep
2026-01-21,Product B,Apparel,84,82.71,Adana
2026-01-03,Product B,Apparel,396,96.31,Konya
2026-12-08,Product C,Home,389,150.43,Gaziantep
2026-01-20,Product A,Apparel,418,255.88,Konya
2026-08-18,Product B,Apparel,85,74.19,Bursa
2026-08-29,Product A,Apparel,170,340.66,Antalya
2026-06-04,Product C,Electronics,500,144.54,Ankara
2026-10-30,Product A,Electronics,428,300.15,Antalya
2026-04-18,Product A,Home,398,254.68,Gaziantep
2026-09-17,Product A,Apparel,319,260.13,Konya
2026-10-04,Product B,Home,375,101.52,Konya
2026-07-27,Product A,Electronics,265,318.54,Konya
2026-11-25,Product C,Apparel,271,192.1,Izmir
2026-09-10,Product C,Apparel,135,152.22,Istanbul
2026-01-07,Product C,Home,426,176.08,Bursa
2026-06-27,Product B,Apparel,346,100.81,Izmir
2026-09-09,Product C,Apparel,81,150.55,Istanbul
2026-12-04,Product A,Home,278,274.27,Konya
2026-07-19,Product A,Apparel,327,262.1,Izmir
